"","File_Name","Child_ID","Child_Age","Start_Time","End_Time","Child_C","Child_X","Child_R","Child_L","Child_C_X","Adult_Lyrical_N","Adult_Lyrical_U","Adult_Lyrical_T","Adult_NonLyrical_N","Adult_NonLyrical_U","Adult_NonLyrical_T","Adult_NoMusic_N","Adult_NoMusic_U","Adult_NoMusic_T","Child_C_log","Child_X_log","Child_R_log","Child_L_log","Child_C_X_log","Adult_Lyrical_N_log","Adult_Lyrical_U_log","Adult_Lyrical_T_log","Adult_NonLyrical_N_log","Adult_NonLyrical_U_log","Adult_NonLyrical_T_log","Adult_NoMusic_N_log","Adult_NoMusic_U_log","Adult_NoMusic_T_log","Child_C_count","Child_X_count","Child_R_count","Child_L_count","Child_C_X_count","Adult_Lyrical_N_count","Adult_Lyrical_U_count","Adult_Lyrical_T_count","Adult_NonLyrical_N_count","Adult_NonLyrical_U_count","Adult_NonLyrical_T_count","Adult_NoMusic_N_count","Adult_NoMusic_U_count","Adult_NoMusic_T_count"
"1","0009_000302",9,3,5159,5459,0,5.563,0,0,5.563,0,0,0,2.169,0,0,15.945,0,3.226,0,1.88144781549159,0,0,1.88144781549159,0,0,0,1.15341608070878,0,0,2.82997280505901,0,1.44125591919386,0,9,0,0,9,0,0,0,1,0,0,19,0,3
"2","0009_000302",9,3,8759,9059,0,15.11,0,0,15.11,0,0,0,0,0,0,11.4,1.28,1.99,0,2.77944019718888,0,0,2.77944019718888,0,0,0,0,0,0,2.51769647261099,0.824175442966349,1.0952733874026,0,46,0,0,46,0,0,0,0,0,0,10,3,3
"3","0009_000302",9,3,12059,12359,0.62,65.85,36.33,5.08,66.47,0,0,0,3.29,0,0,1.862,0,71.479,0.482426149244293,4.20245130354795,3.61979729292649,1.80500469597808,4.21168305463933,0,0,0,1.45628673293993,0,0,1.05152068113426,0,4.28329686473005,1,53,24,4,54,0,0,0,1,0,0,2,0,58
"4","0009_000609",9,6,4354,4654,0.542,41.841,0,0,42.383,0,0,0,0,0,0,7.384,0.759,3.624,0.433080275141138,3.75749558797751,0,0,3.77006765930076,0,0,0,0,0,0,2.12632512757869,0.564745465755421,1.53126013137008,2,113,0,0,115,0,0,0,0,0,0,8,1,5
"5","0009_000609",9,6,15754,16054,0,22.796,0,4.575,22.796,0,0,0,0,0,1.77,0.882,2.288,32.551,0,3.16951749932566,0,1.71829231734618,3.16951749932566,0,0,0,0,0,1.01884732019925,0.632335041163188,1.19027947719393,3.51306666923281,0,42,0,8,42,0,0,0,0,0,1,1,3,27
"6","0009_000609",9,6,35254,35554,0,29.42,36.77,3.54,29.42,0,0,0,0,0,0,41.6,0,68.15,0,3.41510028683115,3.63151513672437,1.51292701205326,3.41510028683115,0,0,0,0,0,0,3.75185425327532,0,4.23627805811077,0,37,19,5,37,0,0,0,0,0,0,25,0,43
"7","0009_000901",9,9,10106,10406,1.41,22.618,0,0,24.028,0,0,0,0,0,0,53.95,1.133,16.841,0.879626747502564,3.16200913317909,0,0,3.21999519813612,0,0,0,0,0,0,4.00642368084963,0.757529439489213,2.88149917939257,2,31,0,0,33,0,0,0,0,0,0,44,1,18
"8","0009_000901",9,9,12506,12806,5.553,13.192,0,2.935,18.745,0,0,0,0,0,0,17.632,5,58.741,1.87992296005736,2.65267842556722,0,1.36991088186937,2.98290029473861,0,0,0,0,0,0,2.92488053258204,1.79175946922805,4.09001855185108,7,19,0,5,26,0,0,0,0,0,0,16,3,39
"9","0009_000901",9,9,15206,15506,16.357,8.607,0.52,0,24.964,0,0,0,0,0,0,21.099,15.522,16.79,2.85399588323874,2.2624919994276,0.418710334858185,0,3.25671096317122,0,0,0,0,0,0,3.09553235863117,2.80469282614031,2.87863650167774,12,19,1,0,31,0,0,0,0,0,0,10,14,10
"10","0009_010603",9,18,7580,7880,20.553,30.141,0,1.437,50.694,0,0,0,0,0,0,16.585,0,5.4,3.07051501799768,3.43852527892813,0,0.890767774643069,3.94534172062097,0,0,0,0,0,0,2.86704626592595,0,1.85629799036563,12,52,0,2,64,0,0,0,0,0,0,12,0,3
