"","File_Name","Child_ID","Child_Age","Start_Time","End_Time","Child_C","Child_X","Child_R","Child_L","Adult_Lyrical_N","Adult_Lyrical_U","Adult_Lyrical_T","Adult_NonLyrical_N","Adult_NonLyrical_U","Adult_NonLyrical_T","Adult_NoMusic_N","Adult_NoMusic_U","Adult_NoMusic_T","Child_C_log","Child_X_log","Child_R_log","Child_L_log","Adult_Lyrical_N_log","Adult_Lyrical_U_log","Adult_Lyrical_T_log","Adult_NonLyrical_N_log","Adult_NonLyrical_U_log","Adult_NonLyrical_T_log","Adult_NoMusic_N_log","Adult_NoMusic_U_log","Adult_NoMusic_T_log","Child_C_count","Child_X_count","Child_R_count","Child_L_count","Adult_Lyrical_N_count","Adult_Lyrical_U_count","Adult_Lyrical_T_count","Adult_NonLyrical_N_count","Adult_NonLyrical_U_count","Adult_NonLyrical_T_count","Adult_NoMusic_N_count","Adult_NoMusic_U_count","Adult_NoMusic_T_count"
"10","0009_010603",9,18,7580,7880,20.553,30.141,0,1.437,0,0,0,0,0,0,16.585,0,5.4,3.02305556920288,3.40591954799748,-6.90775527898214,0.363253259298855,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.80855896602901,-6.90775527898214,1.68658412161075,12,52,0,2,0,0,0,0,0,0,12,0,3
"11","0009_010603",9,18,11180,11480,25.71,15.871,0,0,0,0,0,0,0,0,11.04,0,24.351,3.24691891589284,2.76455655054252,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.401615616457,-6.90775527898214,3.19261398167928,41,32,0,0,0,0,0,0,0,0,9,0,33
"12","0009_010603",9,18,32480,32780,20.01,28.708,0,0,0,0,0,0,0,0,37.373,0,15.884,2.99628212235943,3.35721066245704,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.62097527550006,-6.90775527898214,2.76537526772148,29,54,0,0,0,0,0,0,0,0,30,0,16
"22","0014_010600",14,18,20166,20466,15.875,15.62,0,0,0,0,0,0,0,0,1.969,0,0,2.76480853492082,2.74861616284887,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.678033542749897,-6.90775527898214,-6.90775527898214,25,24,0,0,0,0,0,0,0,0,2,0,0
"23","0014_010600",14,18,33066,33366,32.205,41.799,0,0,0,0,0,0,0,0,8.916,0,11.678,3.4721527705958,3.73289633953071,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.18795956715274,-6.90775527898214,2.45779235729643,33,42,0,0,0,0,0,0,0,0,9,0,14
"24","0014_010600",14,18,39066,39366,2.695,138.319,9.953,0,0,0,0,0,0,0,0,0,0,0.991769193050061,4.92956984137503,2.29797448043636,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1,164,4,0,0,0,0,0,0,0,0,0,0
"34","0039_010604",39,18,7006,7306,41.883,16.127,0,0,0,0,0,0,0,0,37.863,0,10.858,3.73490389242522,2.78055689188896,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.63400079260395,-6.90775527898214,2.38499422923476,49,23,0,0,0,0,0,0,0,0,25,0,9
"35","0039_010604",39,18,9406,9706,41.421,23.817,0,0,0,0,0,0,0,0,0.837,0,0,3.72381214065396,3.1704415973458,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-0.176737178500054,-6.90775527898214,-6.90775527898214,42,24,0,0,0,0,0,0,0,0,1,0,0
"36","0039_010604",39,18,29806,30106,30.668,83.036,0,0,0,0,0,0,0,0,22.579,0,0,3.42325237244299,4.41928629159735,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.11706455872152,-6.90775527898214,-6.90775527898214,25,53,0,0,0,0,0,0,0,0,24,0,0
"45","0054_010617",54,18,22325,22625,0,16.124,212.653,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,2.78037086268184,5.35966643177432,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0,18,82,0,0,0,0,0,0,0,0,0,0
"46","0054_010617",54,18,40325,40625,17.996,18.526,3.237,0,0,0,0,0,0,0,11.276,0,2.457,2.89020507733907,2.91922912756788,1.17495585525544,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.42276525325015,-6.90775527898214,0.899348011143843,17,28,3,0,0,0,0,0,0,0,9,0,2
"56","0056_010602",56,18,8848,9148,16.99,43.614,0,5.827,0,0,0,0,0,0,5.822,0,33.609,2.83268379210362,3.77540112788518,-6.90775527898214,1.76267388833296,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.76181559285498,-6.90775527898214,3.51482364173701,21,61,0,5,0,0,0,0,0,0,5,0,34
"57","0056_010602",56,18,12148,12448,31.133,34.601,0,0,0,0,0,0,0,0,3.402,3.168,13.167,3.43830046961366,3.54391148386133,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.22465739551877,1.15341608070878,2.57778964393471,27,34,0,0,0,0,0,0,0,0,6,4,21
"58","0056_010602",56,18,13648,13948,58.523,19.899,0,0,0,0,6.79,0,0,2.026,41.356,2.695,27.282,4.06943692651592,2.99071973173045,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.91559820613165,-6.90775527898214,-6.90775527898214,0.706556867469863,3.72224169372034,0.991769193050061,3.30626379760342,56,27,0,0,0,0,3,0,0,1,22,3,22
"70","0109_010606",109,18,1417,1717,37.536,18.527,0,4.868,0,0,0,0,0,0,0,0,0,3.62532711320742,2.91928310139058,-6.90775527898214,1.58288857720056,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,40,24,0,5,0,0,0,0,0,0,0,0,0
"71","0109_010606",109,18,11017,11317,27.632,39.527,3.905,4.639,0,0,0,0,0,0,0,0,0,3.31901071067421,3.67700928154345,1.36251383245449,1.53471436623816,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,27,43,2,3,0,0,0,0,0,0,0,0,0
"72","0109_010606",109,18,18217,18517,20.68,46.291,2,0.46,0,0,0,0,0,0,0,0,0,3.02921540437054,3.83496915998583,0.693647055601596,-0.774357235985488,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,22,38,1,1,0,0,0,0,0,0,0,0,0
"88","0193_010605b",193,18,660,960,33.547,33.741,0,0,0,0,0,0,0,0,7.806,2.021,0,3.51297724912217,3.51874335218378,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.05502076713815,0.70408712059828,-6.90775527898214,38,39,0,0,0,0,0,0,0,0,7,2,0
"89","0193_010605b",193,18,13860,14160,14.397,25.984,9.218,2.606,0,0,0,0,0,0,49.048,1.34,13.796,2.66708930804711,3.25751944846041,2.22126657181646,0.958200134951365,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.89281979844371,0.293415604299541,2.6244511772259,15,44,5,9,0,0,0,0,0,0,37,1,13
"90","0193_010605b",193,18,19560,19860,12.229,24.133,0,0.858,0,0,0,0,0,0,104.69,5.996,3.932,2.50389194969908,3.18362163465141,-6.90775527898214,-0.151986356997882,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,4.65101315429634,1.79125934418637,1.36940249344967,12,32,0,1,0,0,0,0,0,0,81,3,4
"100","0205_010601",205,18,15821,16121,53.658,36.88,0,0,0,0,0,0,0,0,28.559,0,14.953,3.98264920896844,3.60769651328825,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.35200713747138,-6.90775527898214,2.70497882257772,52,21,0,0,0,0,0,0,0,0,26,0,19
