"","File_Name","Child_ID","Child_Age","Start_Time","End_Time","Child_C","Child_X","Child_R","Child_L","Adult_Lyrical_N","Adult_Lyrical_U","Adult_Lyrical_T","Adult_NonLyrical_N","Adult_NonLyrical_U","Adult_NonLyrical_T","Adult_NoMusic_N","Adult_NoMusic_U","Adult_NoMusic_T","Child_C_log","Child_X_log","Child_R_log","Child_L_log","Adult_Lyrical_N_log","Adult_Lyrical_U_log","Adult_Lyrical_T_log","Adult_NonLyrical_N_log","Adult_NonLyrical_U_log","Adult_NonLyrical_T_log","Adult_NoMusic_N_log","Adult_NoMusic_U_log","Adult_NoMusic_T_log","Child_C_count","Child_X_count","Child_R_count","Child_L_count","Adult_Lyrical_N_count","Adult_Lyrical_U_count","Adult_Lyrical_T_count","Adult_NonLyrical_N_count","Adult_NonLyrical_U_count","Adult_NonLyrical_T_count","Adult_NoMusic_N_count","Adult_NoMusic_U_count","Adult_NoMusic_T_count"
"7","0009_000901",9,9,10106,10406,1.41,22.618,0,0,0,0,0,0,0,0,53.95,1.133,16.841,0.344298672870677,3.11879026104584,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.98807622721355,0.12575120530556,2.8238757666078,2,31,0,0,0,0,0,0,0,0,44,1,18
"8","0009_000901",9,9,12506,12806,5.553,13.192,0,2.935,0,0,0,0,0,0,17.632,5,58.741,1.71451838888461,2.57968638590164,-6.90775527898214,1.07704811075227,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.86977214642579,1.60963789243677,4.0731549735395,7,19,0,5,0,0,0,0,0,0,16,3,39
"9","0009_000901",9,9,15206,15506,16.357,8.607,0.52,0,0,0,0,0,0,0,21.099,15.522,16.79,2.79471707431278,2.15269200341943,-0.65200523722877,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.04927304048202,2.74232279504431,2.82084302857733,12,19,1,0,0,0,0,0,0,0,10,14,10
"10","0009_010603",9,18,7580,7880,20.553,30.141,0,1.437,0,0,0,0,0,0,16.585,0,5.4,3.02305556920288,3.40591954799748,-6.90775527898214,0.363253259298855,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.80855896602901,-6.90775527898214,1.68658412161075,12,52,0,2,0,0,0,0,0,0,12,0,3
"11","0009_010603",9,18,11180,11480,25.71,15.871,0,0,0,0,0,0,0,0,11.04,0,24.351,3.24691891589284,2.76455655054252,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.401615616457,-6.90775527898214,3.19261398167928,41,32,0,0,0,0,0,0,0,0,9,0,33
"12","0009_010603",9,18,32480,32780,20.01,28.708,0,0,0,0,0,0,0,0,37.373,0,15.884,2.99628212235943,3.35721066245704,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.62097527550006,-6.90775527898214,2.76537526772148,29,54,0,0,0,0,0,0,0,0,30,0,16
"19","0014_000903",14,9,11410,11710,0,13.45,0,0,0,0,44.76,0,0,7.69,4.59,0.97,20.25,-6.90775527898214,2.59905345272644,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.80133722457039,-6.90775527898214,-6.90775527898214,2.04005081407492,1.52409786526709,-0.0294288106908122,3.00820417504931,0,18,0,0,0,0,11,0,0,7,3,1,22
"20","0014_000903",14,9,23710,24010,3.49,69.48,0,0,0,0,0,0,0,0,4.55,0,0,1.2501882281229,4.2410533339003,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.5153469890345,-6.90775527898214,-6.90775527898214,4,149,0,0,0,0,0,0,0,0,3,0,0
"21","0014_000903",14,9,28810,29110,0.43,41.17,47.91,0,0,0,0,0,0,0,1.52,0,6.62,-0.841647188878389,3.71773412501804,3.86934512314642,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.419368013277156,-6.90775527898214,1.89024641594271,1,60,38,0,0,0,0,0,0,0,1,0,5
"22","0014_010600",14,18,20166,20466,15.875,15.62,0,0,0,0,0,0,0,0,1.969,0,0,2.76480853492082,2.74861616284887,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.678033542749897,-6.90775527898214,-6.90775527898214,25,24,0,0,0,0,0,0,0,0,2,0,0
